held_out_donor,alpha,target_coverage,coverage_id_only,size_id_only,coverage_full_query,size_full_query,top1_accuracy
human1,0.01,0.99,0.8778583379810374,1.1104294478527608,0.8176623376623376,1.1485714285714286,0.8124675324675324
human1,0.05,0.95,0.8471834913552705,1.0105967651979921,0.7890909090909091,1.0332467532467533,0.8124675324675324
human1,0.1,0.9,0.7830451756832125,0.9291689905186837,0.7293506493506493,0.945974025974026,0.8124675324675324
human2,0.01,0.99,0.8474777448071217,1.0872403560830861,0.8302325581395349,1.1465116279069767,0.8273255813953488
human2,0.05,0.95,0.8166172106824926,1.0035608308605342,0.8,1.0465116279069768,0.8273255813953488
human2,0.1,0.9,0.7744807121661721,0.9501483679525222,0.7587209302325582,0.9877906976744186,0.8273255813953488
human3,0.01,0.99,0.9910714285714286,1.1414170506912442,0.9590301003344481,1.1956521739130435,0.9464882943143813
human3,0.05,0.95,0.9556451612903226,1.0144009216589862,0.9247491638795987,1.044035674470457,0.9464882943143813
human3,0.1,0.9,0.9141705069124424,0.9596774193548387,0.8846153846153846,0.9818840579710145,0.9464882943143813
human4,0.01,0.99,0.9141205615194055,1.0891824938067713,0.8561484918793504,1.153905645784996,0.8360402165506574
human4,0.05,0.95,0.8645747316267548,1.0,0.8097447795823666,1.0494972931167827,0.8360402165506574
human4,0.1,0.9,0.8158546655656482,0.9372419488026424,0.7641144624903325,0.9737045630317092,0.8360402165506574
