held_out_donor,alpha,target_coverage,coverage_id_only,size_id_only,coverage_full_query,size_full_query,top1_accuracy
human1,0.01,0.99,0.901840490797546,1.1143335192414947,0.84,1.1864935064935065,0.8363636363636363
human1,0.05,0.95,0.8784160624651423,1.0161740100390406,0.8181818181818182,1.054025974025974,0.8363636363636363
human1,0.1,0.9,0.8248745119910764,0.9481316229782487,0.7683116883116883,0.9761038961038961,0.8363636363636363
human2,0.01,0.99,0.8492581602373888,1.1056379821958457,0.8319767441860465,1.1505813953488373,0.8261627906976744
human2,0.05,0.95,0.8225519287833828,1.0118694362017804,0.8058139534883721,1.0465116279069768,0.8261627906976744
human2,0.1,0.9,0.7869436201780415,0.9608308605341246,0.7709302325581395,0.9895348837209302,0.8261627906976744
human3,0.01,0.99,0.9913594470046083,1.131336405529954,0.9593088071348941,1.1825529542920847,0.9464882943143813
human3,0.05,0.95,0.9533410138248848,1.0092165898617511,0.9225195094760312,1.0390189520624302,0.9464882943143813
human3,0.1,0.9,0.8983294930875576,0.9403801843317973,0.8692865105908584,0.9618171683389075,0.9464882943143813
human4,0.01,0.99,0.9174236168455822,1.0999174236168456,0.8592420726991493,1.165506573859242,0.8360402165506574
human4,0.05,0.95,0.8637489677952106,1.0,0.8089713843774169,1.0525908739365817,0.8360402165506574
human4,0.1,0.9,0.8133773740710157,0.9322873658133773,0.7617942768754834,0.9706109822119103,0.8360402165506574
