held_out_donor,alpha,target_coverage,coverage_id_only,size_id_only,coverage_full_query,size_full_query,top1_accuracy
human1,0.01,0.99,0.43669827105409925,1.9107640825432237,0.40675324675324676,1.8690909090909091,0.3418181818181818
human1,0.05,0.95,0.41494701617401003,1.2844394868934745,0.3864935064935065,1.2748051948051948,0.3418181818181818
human1,0.1,0.9,0.39375348577802566,1.143335192414947,0.3667532467532468,1.1397402597402597,0.3418181818181818
human2,0.01,0.99,0.7353115727002968,4.195845697329377,0.7203488372093023,4.148837209302326,0.5302325581395348
human2,0.05,0.95,0.6890207715133532,1.9554896142433233,0.675,1.9430232558139535,0.5302325581395348
human2,0.1,0.9,0.6249258160237389,1.3940652818991097,0.6122093023255814,1.3918604651162791,0.5302325581395348
human3,0.01,0.99,0.763536866359447,2.9233870967741935,0.7388517279821628,2.9163879598662206,0.552396878483835
human3,0.05,0.95,0.7139976958525346,1.8335253456221199,0.6909141583054627,1.830546265328874,0.552396878483835
human3,0.1,0.9,0.679147465437788,1.570852534562212,0.657190635451505,1.5682831661092531,0.552396878483835
human4,0.01,0.99,0.8249380677126342,2.532617671345995,0.7726218097447796,2.5784996133023976,0.6349574632637278
human4,0.05,0.95,0.7712634186622626,1.4376548307184145,0.7223511214230471,1.4671307037896366,0.6349574632637278
human4,0.1,0.9,0.7134599504541701,1.2237819983484723,0.6682134570765661,1.248259860788863,0.6349574632637278
