held_out,alpha,method,coverage,avg_size,target_coverage
human1,0.01,naive,0.9916883116883117,1.5251948051948052,0.99
human1,0.01,domain_clf_naive,1.0,14.0,0.99
human1,0.01,domain_clf,1.0,13.993246753246753,0.99
human1,0.01,structure_aware_centroid,0.9906493506493507,1.5075324675324675,0.99
human1,0.01,structure_aware_propensity,0.9922077922077922,1.6623376623376624,0.99
human1,0.05,naive,0.9574025974025974,1.0997402597402597,0.95
human1,0.05,domain_clf_naive,1.0,14.0,0.95
human1,0.05,domain_clf,1.0,13.905454545454546,0.95
human1,0.05,structure_aware_centroid,0.9594805194805195,1.0987012987012987,0.95
human1,0.05,structure_aware_propensity,0.9667532467532467,1.1184415584415583,0.95
human1,0.1,naive,0.9127272727272727,0.9880519480519481,0.9
human1,0.1,domain_clf_naive,1.0,14.0,0.9
human1,0.1,domain_clf,0.9994805194805195,13.798441558441558,0.9
human1,0.1,structure_aware_centroid,0.8940259740259741,0.9672727272727273,0.9
human1,0.1,structure_aware_propensity,0.9064935064935065,0.9787012987012987,0.9
human2,0.01,naive,0.9953488372093023,1.8854651162790699,0.99
human2,0.01,domain_clf_naive,1.0,14.0,0.99
human2,0.01,domain_clf,0.9994186046511628,13.93779069767442,0.99
human2,0.01,structure_aware_centroid,0.9947674418604651,1.8959302325581395,0.99
human2,0.01,structure_aware_propensity,0.997093023255814,1.8982558139534884,0.99
human2,0.05,naive,0.9569767441860465,1.130232558139535,0.95
human2,0.05,domain_clf_naive,0.9994186046511628,13.97906976744186,0.95
human2,0.05,domain_clf,0.9994186046511628,13.697093023255814,0.95
human2,0.05,structure_aware_centroid,0.9604651162790697,1.1325581395348838,0.95
human2,0.05,structure_aware_propensity,0.9668604651162791,1.1406976744186046,0.95
human2,0.1,naive,0.913953488372093,1.005232558139535,0.9
human2,0.1,domain_clf_naive,0.9994186046511628,13.927906976744186,0.9
human2,0.1,domain_clf,0.9947674418604651,13.38546511627907,0.9
human2,0.1,structure_aware_centroid,0.913953488372093,1.0023255813953489,0.9
human2,0.1,structure_aware_propensity,0.9017441860465116,0.9965116279069768,0.9
human3,0.01,naive,0.9916387959866221,3.379877369007804,0.99
human3,0.01,domain_clf_naive,1.0,14.0,0.99
human3,0.01,domain_clf,1.0,13.981047937569677,0.99
human3,0.01,structure_aware_centroid,0.9933110367892977,3.3690078037904123,0.99
human3,0.01,structure_aware_propensity,0.9916387959866221,3.287068004459309,0.99
human3,0.05,naive,0.9721293199554069,1.6758639910813824,0.95
human3,0.05,domain_clf_naive,1.0,13.9896878483835,0.95
human3,0.05,domain_clf,0.9994425863991081,13.885730211817169,0.95
human3,0.05,structure_aware_centroid,0.9698996655518395,1.6819955406911928,0.95
human3,0.05,structure_aware_propensity,0.9671125975473801,1.6594202898550725,0.95
human3,0.1,naive,0.9289297658862876,1.2951505016722409,0.9
human3,0.1,domain_clf_naive,1.0,13.962095875139353,0.9
human3,0.1,domain_clf,0.9983277591973244,13.747491638795987,0.9
human3,0.1,structure_aware_centroid,0.9297658862876255,1.2954292084726868,0.9
human3,0.1,structure_aware_propensity,0.927536231884058,1.2929208472686733,0.9
human4,0.01,naive,0.9922660479505027,1.382830626450116,0.99
human4,0.01,domain_clf_naive,1.0,14.0,0.99
human4,0.01,domain_clf,1.0,14.0,0.99
human4,0.01,structure_aware_centroid,0.9891724671307038,1.3735498839907192,0.99
human4,0.01,structure_aware_propensity,0.9891724671307038,1.3905645784996132,0.99
human4,0.05,naive,0.94276875483372,1.0835266821345708,0.95
human4,0.05,domain_clf_naive,1.0,14.0,0.95
human4,0.05,domain_clf,1.0,13.930394431554525,0.95
human4,0.05,structure_aware_centroid,0.9474091260634184,1.088940448569219,0.95
human4,0.05,structure_aware_propensity,0.9412219644238206,1.08584686774942,0.95
human4,0.1,naive,0.8940448569218871,0.9860788863109049,0.9
human4,0.1,domain_clf_naive,1.0,14.0,0.9
human4,0.1,domain_clf,0.9984532095901005,13.756380510440835,0.9
human4,0.1,structure_aware_centroid,0.9095127610208816,0.9984532095901005,0.9
human4,0.1,structure_aware_propensity,0.908739365815932,0.9961330239752514,0.9
