held_out,alpha,method,coverage,avg_size,target_coverage
p1,0.01,naive,0.9906291834002677,1.2677376171352075,0.99
p1,0.01,domain_clf_naive,0.9839357429718876,8.307898259705489,0.99
p1,0.01,domain_clf,0.9805890227576974,6.277777777777778,0.99
p1,0.01,structure_aware_centroid,0.9912985274431058,1.2777777777777777,0.99
p1,0.01,structure_aware_propensity,0.9933065595716198,1.2684069611780455,0.99
p1,0.05,naive,0.9551539491298527,1.0642570281124497,0.95
p1,0.05,domain_clf_naive,0.9484605087014726,5.5595716198125835,0.95
p1,0.05,domain_clf,0.9156626506024096,3.5963855421686746,0.95
p1,0.05,structure_aware_centroid,0.965194109772423,1.072958500669344,0.95
p1,0.05,structure_aware_propensity,0.9618473895582329,1.071619812583668,0.95
p1,0.1,naive,0.9029451137884873,0.9678714859437751,0.9
p1,0.1,domain_clf_naive,0.8373493975903614,4.217536813922356,0.9
p1,0.1,domain_clf,0.7074966532797858,2.605756358768407,0.9
p1,0.1,structure_aware_centroid,0.9103078982597055,0.9785809906291834,0.9
p1,0.1,structure_aware_propensity,0.9009370816599732,0.9698795180722891,0.9
p2,0.01,naive,0.9812834224598931,1.8770053475935828,0.99
p2,0.01,domain_clf_naive,0.9973262032085561,6.021390374331551,0.99
p2,0.01,domain_clf,0.9946524064171123,6.077540106951871,0.99
p2,0.01,structure_aware_centroid,0.983957219251337,1.8716577540106951,0.99
p2,0.01,structure_aware_propensity,0.9786096256684492,1.9010695187165776,0.99
p2,0.05,naive,0.9438502673796791,1.2433155080213905,0.95
p2,0.05,domain_clf_naive,0.9518716577540107,2.248663101604278,0.95
p2,0.05,domain_clf,0.9518716577540107,2.2566844919786098,0.95
p2,0.05,structure_aware_centroid,0.9572192513368984,1.2379679144385027,0.95
p2,0.05,structure_aware_propensity,0.9545454545454546,1.2593582887700534,0.95
p2,0.1,naive,0.9144385026737968,1.0748663101604279,0.9
p2,0.1,domain_clf_naive,0.8582887700534759,1.320855614973262,0.9
p2,0.1,domain_clf,0.8850267379679144,1.03475935828877,0.9
p2,0.1,structure_aware_centroid,0.8957219251336899,1.0668449197860963,0.9
p2,0.1,structure_aware_propensity,0.9037433155080213,1.0775401069518717,0.9
p3,0.01,naive,0.9912162162162163,1.4324324324324325,0.99
p3,0.01,domain_clf_naive,0.9891891891891892,4.805405405405406,0.99
p3,0.01,domain_clf,0.9891891891891892,3.8364864864864865,0.99
p3,0.01,structure_aware_centroid,0.9898648648648649,1.4324324324324325,0.99
p3,0.01,structure_aware_propensity,0.995945945945946,1.472972972972973,0.99
p3,0.05,naive,0.9506756756756757,1.1141891891891893,0.95
p3,0.05,domain_clf_naive,0.9141891891891892,1.8,0.95
p3,0.05,domain_clf,0.925,1.4412162162162163,0.95
p3,0.05,structure_aware_centroid,0.9540540540540541,1.1128378378378379,0.95
p3,0.05,structure_aware_propensity,0.9527027027027027,1.1121621621621622,0.95
p3,0.1,naive,0.902027027027027,1.008108108108108,0.9
p3,0.1,domain_clf_naive,0.8554054054054054,1.306081081081081,0.9
p3,0.1,domain_clf,0.8425675675675676,0.9236486486486486,0.9
p3,0.1,structure_aware_centroid,0.8986486486486487,0.9979729729729729,0.9
p3,0.1,structure_aware_propensity,0.9175675675675675,1.022972972972973,0.9
p4,0.01,naive,0.9913217623497997,1.766355140186916,0.99
p4,0.01,domain_clf_naive,0.9933244325767691,10.286381842456608,0.99
p4,0.01,domain_clf,0.992656875834446,8.660213618157544,0.99
p4,0.01,structure_aware_centroid,0.9913217623497997,1.7650200267022698,0.99
p4,0.01,structure_aware_propensity,0.9893190921228304,1.800400534045394,0.99
p4,0.05,naive,0.9566088117489987,1.219626168224299,0.95
p4,0.05,domain_clf_naive,0.9886515353805073,7.72630173564753,0.95
p4,0.05,domain_clf,0.9786381842456608,4.787716955941255,0.95
p4,0.05,structure_aware_centroid,0.9612817089452603,1.2216288384512684,0.95
p4,0.05,structure_aware_propensity,0.9599465954606141,1.232977303070761,0.95
p4,0.1,naive,0.9065420560747663,1.0460614152202938,0.9
p4,0.1,domain_clf_naive,0.9706275033377837,6.498664886515354,0.9
p4,0.1,domain_clf,0.9579439252336449,3.5106809078771697,0.9
p4,0.1,structure_aware_centroid,0.910547396528705,1.0574098798397864,0.9
p4,0.1,structure_aware_propensity,0.9052069425901201,1.0507343124165553,0.9
p5,0.01,naive,0.983957219251337,1.6283422459893049,0.99
p5,0.01,domain_clf_naive,0.9872994652406417,7.553475935828877,0.99
p5,0.01,domain_clf,0.9893048128342246,7.149732620320855,0.99
p5,0.01,structure_aware_centroid,0.981951871657754,1.6263368983957218,0.99
p5,0.01,structure_aware_propensity,0.9846256684491979,1.697192513368984,0.99
p5,0.05,naive,0.9431818181818182,1.177807486631016,0.95
p5,0.05,domain_clf_naive,0.9872994652406417,5.391711229946524,0.95
p5,0.05,domain_clf,0.9832887700534759,5.073529411764706,0.95
p5,0.05,structure_aware_centroid,0.9491978609625669,1.178475935828877,0.95
p5,0.05,structure_aware_propensity,0.9391711229946524,1.1758021390374331,0.95
p5,0.1,naive,0.8890374331550802,1.0274064171122994,0.9
p5,0.1,domain_clf_naive,0.9398395721925134,4.406417112299465,0.9
p5,0.1,domain_clf,0.9358288770053476,4.260695187165775,0.9
p5,0.1,structure_aware_centroid,0.8943850267379679,1.0340909090909092,0.9
p5,0.1,structure_aware_propensity,0.891042780748663,1.0287433155080214,0.9
p6,0.01,naive,0.9932930918846412,1.2582159624413145,0.99
p6,0.01,domain_clf_naive,0.98859825620389,4.175050301810865,0.99
p6,0.01,domain_clf,0.9966465459423206,2.780013413816231,0.99
p6,0.01,structure_aware_centroid,0.9912810194500336,1.2568745808182429,0.99
p6,0.01,structure_aware_propensity,0.9973172367538564,1.2622401073105298,0.99
p6,0.05,naive,0.9584171696847753,1.0389000670690811,0.95
p6,0.05,domain_clf_naive,0.9450033534540577,1.7236753856472167,0.95
p6,0.05,domain_clf,0.96579476861167,1.0630449362843728,0.95
p6,0.05,structure_aware_centroid,0.9698189134808853,1.0556673373574783,0.95
p6,0.05,structure_aware_propensity,0.9590878604963112,1.0449362843729042,0.95
p6,0.1,naive,0.9027498323272971,0.9530516431924883,0.9
p6,0.1,domain_clf_naive,0.8383635144198525,1.1864520456069751,0.9
p6,0.1,domain_clf,0.9141515761234071,0.9725016767270288,0.9
p6,0.1,structure_aware_centroid,0.9228705566733736,0.9725016767270288,0.9
p6,0.1,structure_aware_propensity,0.9248826291079812,0.9758551307847082,0.9
p7,0.01,naive,0.9926519706078825,1.2992651970607882,0.99
p7,0.01,domain_clf_naive,0.9886439545758183,4.839011356045424,0.99
p7,0.01,domain_clf,0.9946559786239145,4.115564462257849,0.99
p7,0.01,structure_aware_centroid,0.9919839679358717,1.3079492317969272,0.99
p7,0.01,structure_aware_propensity,0.9966599866399466,1.3132932531730126,0.99
p7,0.05,naive,0.9478957915831663,1.0587842351369405,0.95
p7,0.05,domain_clf_naive,0.9178356713426854,1.9545758183032733,0.95
p7,0.05,domain_clf,0.9104876419505677,1.6199064796259186,0.95
p7,0.05,structure_aware_centroid,0.948563794255177,1.0607882431529727,0.95
p7,0.05,structure_aware_propensity,0.9398797595190381,1.0487641950567803,0.95
p7,0.1,naive,0.8984635938543755,0.9639278557114228,0.9
p7,0.1,domain_clf_naive,0.8897795591182365,1.344689378757515,0.9
p7,0.1,domain_clf,0.8784235136940548,0.9365397461589846,0.9
p7,0.1,structure_aware_centroid,0.9011356045424181,0.9719438877755511,0.9
p7,0.1,structure_aware_propensity,0.9131596526386105,0.978623914495658,0.9
