direction,alpha,method,coverage,avg_size,target_coverage
healthy->tumor,0.01,naive,0.9588074167720185,2.65149599662874,0.99
healthy->tumor,0.01,domain_clf_naive,1.0,3.0,0.99
healthy->tumor,0.01,domain_clf,0.9986304256215761,2.990518331226296,0.99
healthy->tumor,0.01,structure_aware_centroid,0.9571217867678045,2.650653181626633,0.99
healthy->tumor,0.01,structure_aware_propensity,0.9618626211546566,2.650442477876106,0.99
healthy->tumor,0.05,naive,0.7505267593763169,1.996944795617362,0.95
healthy->tumor,0.05,domain_clf_naive,1.0,3.0,0.95
healthy->tumor,0.05,domain_clf,0.9765065318162663,2.8964391066160977,0.95
healthy->tumor,0.05,structure_aware_centroid,0.7507374631268436,1.9986304256215761,0.95
healthy->tumor,0.05,structure_aware_propensity,0.739464812473662,1.9613358617783396,0.95
healthy->tumor,0.1,naive,0.6652970922882427,1.7385166455962917,0.9
healthy->tumor,0.1,domain_clf_naive,1.0,3.0,0.9
healthy->tumor,0.1,domain_clf,0.9419511167298777,2.7687526337968817,0.9
healthy->tumor,0.1,structure_aware_centroid,0.6643489254108723,1.7368310155920776,0.9
healthy->tumor,0.1,structure_aware_propensity,0.6699325747998315,1.7510535187526337,0.9
tumor_G->healt,0.01,naive,0.9402222222222222,1.8837777777777778,0.99
tumor_G->healt,0.01,domain_clf_naive,1.0,3.0,0.99
tumor_G->healt,0.01,domain_clf,1.0,2.9993333333333334,0.99
tumor_G->healt,0.01,structure_aware_centroid,0.9368888888888889,1.8742222222222222,0.99
tumor_G->healt,0.01,structure_aware_propensity,0.9377777777777778,1.8891111111111112,0.99
tumor_G->healt,0.05,naive,0.8357777777777777,1.4986666666666666,0.95
tumor_G->healt,0.05,domain_clf_naive,1.0,2.9995555555555558,0.95
tumor_G->healt,0.05,domain_clf,0.9997777777777778,2.9966666666666666,0.95
tumor_G->healt,0.05,structure_aware_centroid,0.8415555555555555,1.5073333333333334,0.95
tumor_G->healt,0.05,structure_aware_propensity,0.8406666666666667,1.5026666666666666,0.95
tumor_G->healt,0.1,naive,0.7293333333333333,1.2955555555555556,0.9
tumor_G->healt,0.1,domain_clf_naive,1.0,2.9988888888888887,0.9
tumor_G->healt,0.1,domain_clf,0.9993333333333333,2.9915555555555557,0.9
tumor_G->healt,0.1,structure_aware_centroid,0.7286666666666667,1.2917777777777777,0.9
tumor_G->healt,0.1,structure_aware_propensity,0.744,1.3171111111111111,0.9
