direction,alpha_o,reject_pct,alpha,method,coverage,avg_size,target_coverage
healthy->tumor,0.1,3.013063632532659,0.01,naive+reject,0.9603519443840973,2.661633717140995,0.99
healthy->tumor,0.1,3.013063632532659,0.01,structure_aware+reject,0.9615468172930698,2.6578318487942645,0.99
healthy->tumor,0.1,3.013063632532659,0.05,naive+reject,0.7442971974799044,1.9997827503801868,0.95
healthy->tumor,0.1,3.013063632532659,0.05,structure_aware+reject,0.7474473169671954,2.0045622420160765,0.95
healthy->tumor,0.1,3.013063632532659,0.1,naive+reject,0.6584835976537041,1.7412557028025202,0.9
healthy->tumor,0.1,3.013063632532659,0.1,structure_aware+reject,0.6631544644796872,1.74983706278514,0.9
healthy->tumor,0.3,68.18373367045933,0.01,naive+reject,0.9466887417218544,2.6069536423841058,0.99
healthy->tumor,0.3,68.18373367045933,0.01,structure_aware+reject,0.9609271523178808,2.6201986754966886,0.99
healthy->tumor,0.3,68.18373367045933,0.05,naive+reject,0.733112582781457,2.048675496688742,0.95
healthy->tumor,0.3,68.18373367045933,0.05,structure_aware+reject,0.7364238410596027,2.059271523178808,0.95
healthy->tumor,0.3,68.18373367045933,0.1,naive+reject,0.6311258278145695,1.7513245033112583,0.9
healthy->tumor,0.3,68.18373367045933,0.1,structure_aware+reject,0.6317880794701987,1.7516556291390728,0.9
tumor_G->healt,0.1,99.6,0.01,naive+reject,1.0,2.2222222222222223,0.99
tumor_G->healt,0.1,99.6,0.01,structure_aware+reject,1.0,2.2777777777777777,0.99
tumor_G->healt,0.1,99.6,0.05,naive+reject,0.9444444444444444,1.8888888888888888,0.95
tumor_G->healt,0.1,99.6,0.05,structure_aware+reject,0.8888888888888888,1.7777777777777777,0.95
tumor_G->healt,0.1,99.6,0.1,naive+reject,0.9444444444444444,1.7777777777777777,0.9
tumor_G->healt,0.1,99.6,0.1,structure_aware+reject,0.9444444444444444,1.6666666666666667,0.9
tumor_G->healt,0.3,99.86666666666666,0.01,naive+reject,1.0,2.1666666666666665,0.99
tumor_G->healt,0.3,99.86666666666666,0.01,structure_aware+reject,1.0,2.0,0.99
tumor_G->healt,0.3,99.86666666666666,0.05,naive+reject,1.0,1.8333333333333333,0.95
tumor_G->healt,0.3,99.86666666666666,0.05,structure_aware+reject,1.0,1.8333333333333333,0.95
tumor_G->healt,0.3,99.86666666666666,0.1,naive+reject,1.0,2.0,0.9
tumor_G->healt,0.3,99.86666666666666,0.1,structure_aware+reject,1.0,1.5,0.9
