held_out_dataset,alpha,method,coverage,avg_size,target_coverage
Banovich_Kropski_2020,0.05,naive,0.934934934934935,1.3433433433433433,0.95
Banovich_Kropski_2020,0.05,structure_aware,0.9379379379379379,1.3508508508508508,0.95
Banovich_Kropski_2020,0.1,naive,0.8883883883883884,1.1556556556556556,0.9
Banovich_Kropski_2020,0.1,structure_aware,0.8848848848848849,1.1491491491491492,0.9
Barbry_Leroy_2020,0.05,naive,0.9402910185649774,1.0692423482187656,0.95
Barbry_Leroy_2020,0.05,structure_aware,0.9433015554440541,1.073256397390868,0.95
Barbry_Leroy_2020,0.1,naive,0.902157551430005,0.9919719016557953,0.9
Barbry_Leroy_2020,0.1,structure_aware,0.8956347215253387,0.9899648770697441,0.9
Jain_Misharin_2021_10Xv1,0.05,naive,0.9485,1.0075,0.95
Jain_Misharin_2021_10Xv1,0.05,structure_aware,0.953,1.0085,0.95
Jain_Misharin_2021_10Xv1,0.1,naive,0.909,0.9465,0.9
Jain_Misharin_2021_10Xv1,0.1,structure_aware,0.9045,0.94,0.9
Jain_Misharin_2021_10Xv2,0.05,naive,0.9175,1.105,0.95
Jain_Misharin_2021_10Xv2,0.05,structure_aware,0.921,1.1115,0.95
Jain_Misharin_2021_10Xv2,0.1,naive,0.873,1.018,0.9
Jain_Misharin_2021_10Xv2,0.1,structure_aware,0.868,1.006,0.9
Krasnow_2020,0.05,naive,0.9414707353676839,1.0925462731365683,0.95
Krasnow_2020,0.05,structure_aware,0.943471735867934,1.088544272136068,0.95
Krasnow_2020,0.1,naive,0.8939469734867433,0.9964982491245623,0.9
Krasnow_2020,0.1,structure_aware,0.8914457228614308,0.9879939969984992,0.9
Lafyatis_Rojas_2019_10Xv1,0.05,naive,0.952,1.803,0.95
Lafyatis_Rojas_2019_10Xv1,0.05,structure_aware,0.9535,1.8145,0.95
Lafyatis_Rojas_2019_10Xv1,0.1,naive,0.903,1.451,0.9
Lafyatis_Rojas_2019_10Xv1,0.1,structure_aware,0.906,1.451,0.9
Lafyatis_Rojas_2019_10Xv2,0.05,naive,0.9434434434434434,1.1496496496496496,0.95
Lafyatis_Rojas_2019_10Xv2,0.05,structure_aware,0.9484484484484484,1.1646646646646646,0.95
Lafyatis_Rojas_2019_10Xv2,0.1,naive,0.9004004004004004,1.0395395395395395,0.9
Lafyatis_Rojas_2019_10Xv2,0.1,structure_aware,0.8973973973973974,1.0365365365365364,0.9
Meyer_2019,0.05,naive,0.9223057644110275,1.1353383458646618,0.95
Meyer_2019,0.05,structure_aware,0.9293233082706767,1.137844611528822,0.95
Meyer_2019,0.1,naive,0.8837092731829574,1.0345864661654136,0.9
Meyer_2019,0.1,structure_aware,0.8807017543859649,1.032080200501253,0.9
Misharin_2021,0.05,naive,0.9367152184831743,1.138121546961326,0.95
Misharin_2021,0.05,structure_aware,0.9357106981416373,1.143646408839779,0.95
Misharin_2021,0.1,naive,0.8884982420894023,1.0210949271722753,0.9
Misharin_2021,0.1,structure_aware,0.8839779005524862,1.017579105976896,0.9
Misharin_Budinger_2018,0.05,naive,0.952,1.0865,0.95
Misharin_Budinger_2018,0.05,structure_aware,0.9505,1.089,0.95
Misharin_Budinger_2018,0.1,naive,0.9095,1.002,0.9
Misharin_Budinger_2018,0.1,structure_aware,0.9065,0.9955,0.9
Nawijn_2021,0.05,naive,0.942,1.1885,0.95
Nawijn_2021,0.05,structure_aware,0.946,1.188,0.95
Nawijn_2021,0.1,naive,0.902,1.054,0.9
Nawijn_2021,0.1,structure_aware,0.8945,1.0455,0.9
Seibold_2020_10Xv2,0.05,naive,0.9535,1.153,0.95
Seibold_2020_10Xv2,0.05,structure_aware,0.958,1.161,0.95
Seibold_2020_10Xv2,0.1,naive,0.9085,1.0235,0.9
Seibold_2020_10Xv2,0.1,structure_aware,0.91,1.0265,0.9
Seibold_2020_10Xv3,0.05,naive,0.9495,1.086,0.95
Seibold_2020_10Xv3,0.05,structure_aware,0.9475,1.084,0.95
Seibold_2020_10Xv3,0.1,naive,0.8985,0.983,0.9
Seibold_2020_10Xv3,0.1,structure_aware,0.8955,0.979,0.9
Teichmann_Meyer_2019,0.05,naive,0.9379689844922461,1.1210605302651326,0.95
Teichmann_Meyer_2019,0.05,structure_aware,0.9414707353676839,1.1255627813906954,0.95
Teichmann_Meyer_2019,0.1,naive,0.8924462231115557,1.0210105052526264,0.9
Teichmann_Meyer_2019,0.1,structure_aware,0.887943971985993,1.0140070035017508,0.9
