dataset,cell_type_full,consensus_label,original_label,reannotation_type,predicted_label,pred_confidence,set_size_naive,set_size_structure
Banovich_Kropski_2020,endothelial cell of lymphatic vessel,Lymphatic EC mature,None,Underannotated,Lymphatic EC mature,0.999504747031361,1,1
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.5615208242872863,2,2
Banovich_Kropski_2020,"CD4-positive, alpha-beta T cell",T cell lineage,T cell lineage,Correctly annotated,T cell lineage,0.999884412891442,1,1
Banovich_Kropski_2020,bronchus fibroblast of lung,Fibroblasts,Myofibroblasts,Misannotated,Fibroblasts,0.9999967647190219,1,1
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Underannotated,Monocytes,0.9863877938463135,1,1
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9446656199343025,1,1
Banovich_Kropski_2020,natural killer cell,Innate lymphoid cell NK,None,Misannotated,Innate lymphoid cell NK,0.9044546292713176,1,1
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9878066667848384,1,0
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9979223322706497,1,1
Banovich_Kropski_2020,classical monocyte,Monocytes,Monocytes,Underannotated,Monocytes,0.999080663656392,1,1
Banovich_Kropski_2020,"CD4-positive, alpha-beta T cell",T cell lineage,T cell lineage,Correctly annotated,T cell lineage,0.9863812948364412,1,1
Banovich_Kropski_2020,pulmonary alveolar type 2 cell,AT2,AT2,Correctly annotated,Secretory,0.5096982805312226,3,2
Banovich_Kropski_2020,pulmonary artery endothelial cell,EC arterial,EC venous,Misannotated,EC arterial,0.9971142003139265,1,0
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.769006628272516,2,2
Banovich_Kropski_2020,lung pericyte,Fibroblasts,Fibroblasts,Correctly annotated,Fibroblasts,0.9996299335066892,1,1
Banovich_Kropski_2020,pulmonary alveolar type 1 cell,AT1,AT1,Correctly annotated,AT1,0.9998713794408342,1,0
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.999560818393286,1,1
Banovich_Kropski_2020,pulmonary alveolar type 1 cell,AT1,AT1,Correctly annotated,AT1,0.9998208448204717,1,1
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9996559279104009,1,0
Banovich_Kropski_2020,alveolar adventitial fibroblast,Fibroblasts,Fibroblasts,Misannotated,Fibroblasts,0.9999996033753312,1,1
Banovich_Kropski_2020,pulmonary alveolar type 1 cell,AT1,AT1,Correctly annotated,AT1,0.9997693761343727,1,1
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Monocytes,Misannotated,Macrophages,0.5706622033033922,2,2
Banovich_Kropski_2020,"CD4-positive, alpha-beta T cell",T cell lineage,T cell lineage,Correctly annotated,T cell lineage,0.9998766881282725,1,1
Banovich_Kropski_2020,"CD8-positive, alpha-beta T cell",T cell lineage,Innate lymphoid cell NK,Misannotated,T cell lineage,0.9983560421300408,1,1
Banovich_Kropski_2020,multiciliated columnar cell of tracheobronchial tree,Multiciliated lineage,Secretory,Misannotated,Multiciliated lineage,0.9630166431492512,1,1
Banovich_Kropski_2020,multiciliated columnar cell of tracheobronchial tree,Multiciliated lineage,Multiciliated lineage,Underannotated,Multiciliated lineage,0.9999930183207945,1,1
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.9134448087241033,1,1
Banovich_Kropski_2020,natural killer cell,Innate lymphoid cell NK,None,Underannotated,Innate lymphoid cell NK,0.9985287911869475,1,1
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9782819848676435,1,1
Banovich_Kropski_2020,pulmonary alveolar type 2 cell,AT2,AT2,Correctly annotated,AT2,0.9573920574769164,1,1
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Underannotated,EC capillary,0.9999712234504462,1,1
Banovich_Kropski_2020,pulmonary alveolar type 2 cell,AT2,AT2,Correctly annotated,AT2,0.8962749827027637,1,1
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9913346787090114,1,1
Banovich_Kropski_2020,pulmonary alveolar type 2 cell,AT2,AT2,Correctly annotated,AT2,0.9752288054814479,1,1
Banovich_Kropski_2020,pulmonary alveolar type 2 cell,AT2,AT2,Correctly annotated,Secretory,0.6627151318667122,2,2
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Underannotated,EC capillary,0.974152002192679,1,1
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9881198361075223,1,1
Banovich_Kropski_2020,multiciliated columnar cell of tracheobronchial tree,Multiciliated lineage,AT2,Misannotated,Multiciliated lineage,0.9978964598475103,1,1
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9992730561487457,1,1
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9998952745978376,1,1
Banovich_Kropski_2020,"CD8-positive, alpha-beta T cell",T cell lineage,Innate lymphoid cell NK,Misannotated,T cell lineage,0.9380975110317921,1,1
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.979988879056925,1,1
Banovich_Kropski_2020,natural killer cell,Innate lymphoid cell NK,None,Underannotated,Innate lymphoid cell NK,0.999611569843983,1,0
Banovich_Kropski_2020,"CD8-positive, alpha-beta T cell",T cell lineage,None,Underannotated,T cell lineage,0.9994472322273735,0,1
Banovich_Kropski_2020,plasma cell,B cell lineage,B cell lineage,Correctly annotated,B cell lineage,0.9975366106541529,1,1
Banovich_Kropski_2020,pulmonary alveolar type 2 cell,AT2,AT2,Correctly annotated,AT2,0.998129958221853,1,1
Banovich_Kropski_2020,vein endothelial cell,EC venous,EC venous,Underannotated,EC venous,0.9248571818249999,1,1
Banovich_Kropski_2020,multiciliated columnar cell of tracheobronchial tree,Multiciliated lineage,Multiciliated lineage,Underannotated,Multiciliated lineage,0.9999767300090276,1,1
Banovich_Kropski_2020,pulmonary alveolar type 2 cell,AT2,AT2,Correctly annotated,Basal,0.6399369338902114,2,2
Banovich_Kropski_2020,"CD4-positive, alpha-beta T cell",T cell lineage,T cell lineage,Correctly annotated,T cell lineage,0.9999854625844761,0,1
Banovich_Kropski_2020,pulmonary artery endothelial cell,EC arterial,EC capillary,Misannotated,EC capillary,0.997603537443212,1,1
Banovich_Kropski_2020,pulmonary alveolar type 2 cell,AT2,AT2,Correctly annotated,AT2,0.9086936978292335,1,1
Banovich_Kropski_2020,pulmonary alveolar type 2 cell,AT2,AT2,Correctly annotated,AT2,0.9500233958124169,1,0
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9590779256420251,1,1
Banovich_Kropski_2020,"CD4-positive, alpha-beta T cell",T cell lineage,T cell lineage,Correctly annotated,T cell lineage,0.9992248659407704,1,0
Banovich_Kropski_2020,endothelial cell of lymphatic vessel,Lymphatic EC mature,None,Underannotated,Lymphatic EC mature,0.5633790885827812,2,2
Banovich_Kropski_2020,"CD4-positive, alpha-beta T cell",T cell lineage,T cell lineage,Correctly annotated,T cell lineage,0.9998680039180645,1,1
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.994004600039808,1,1
Banovich_Kropski_2020,lung macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.4122571553011759,3,2
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9979291477564319,1,1
