held_out,alpha,method,coverage,avg_size,target_coverage
TSP10_10X_3Prime_v3.1,0.01,naive,0.9859578736208626,1.7076228686058175,0.99
TSP10_10X_3Prime_v3.1,0.01,domain_clf,0.9994984954864594,14.167502507522567,0.99
TSP10_10X_3Prime_v3.1,0.01,structure_aware,0.9874623871614845,1.712136409227683,0.99
TSP10_10X_3Prime_v3.1,0.05,naive,0.9418254764292878,1.285356068204614,0.95
TSP10_10X_3Prime_v3.1,0.05,domain_clf,0.9819458375125376,12.764794383149448,0.95
TSP10_10X_3Prime_v3.1,0.05,structure_aware,0.9428284854563691,1.285356068204614,0.95
TSP10_10X_3Prime_v3.1,0.1,naive,0.8956870611835507,1.1223671013039118,0.9
TSP10_10X_3Prime_v3.1,0.1,domain_clf,0.9608826479438315,12.11283851554664,0.9
TSP10_10X_3Prime_v3.1,0.1,structure_aware,0.9022066198595787,1.1293881644934805,0.9
TSP14_10X_3Prime_v3.1,0.01,naive,0.9935,1.181,0.99
TSP14_10X_3Prime_v3.1,0.01,domain_clf,0.991,14.322,0.99
TSP14_10X_3Prime_v3.1,0.01,structure_aware,0.995,1.1785,0.99
TSP14_10X_3Prime_v3.1,0.05,naive,0.9545,1.035,0.95
TSP14_10X_3Prime_v3.1,0.05,domain_clf,0.9705,13.2,0.95
TSP14_10X_3Prime_v3.1,0.05,structure_aware,0.9525,1.033,0.95
TSP14_10X_3Prime_v3.1,0.1,naive,0.9105,0.962,0.9
TSP14_10X_3Prime_v3.1,0.1,domain_clf,0.91,12.398,0.9
TSP14_10X_3Prime_v3.1,0.1,structure_aware,0.908,0.958,0.9
TSP14_10X_5Prime_v2,0.01,naive,0.9964964964964965,1.568068068068068,0.99
TSP14_10X_5Prime_v2,0.01,domain_clf,0.9994994994994995,16.545545545545547,0.99
TSP14_10X_5Prime_v2,0.01,structure_aware,0.996996996996997,1.5875875875875876,0.99
TSP14_10X_5Prime_v2,0.05,naive,0.9594594594594594,1.0515515515515514,0.95
TSP14_10X_5Prime_v2,0.05,domain_clf,0.993993993993994,15.967467467467467,0.95
TSP14_10X_5Prime_v2,0.05,structure_aware,0.9634634634634635,1.049049049049049,0.95
TSP14_10X_5Prime_v2,0.1,naive,0.9074074074074074,0.954954954954955,0.9
TSP14_10X_5Prime_v2,0.1,domain_clf,0.9819819819819819,15.53103103103103,0.9
TSP14_10X_5Prime_v2,0.1,structure_aware,0.8993993993993994,0.9464464464464465,0.9
